block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9049309,arkadiko-v2,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR,3228529500000,1800308219700,1.280929,1.280929,1.280929,no,false
9049309,arkadiko-v2,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5,440370000,124490100,2.526643,2.526643,2.526643,no,true
9049309,arkadiko-v2,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1,4725000000,1204842500,2.801143,2.801143,2.801143,no,false
9049309,arkadiko-v2,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG,423310387,85819500,3.523214,3.523214,3.523214,no,true
9049309,arkadiko-v2,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ,31500000,5547800,4.055643,4.055643,4.055643,no,true
9049309,arkadiko-v2,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2,3614968476,464388400,5.560214,5.560214,5.560214,no,true
9049309,arkadiko-v2,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS,122525172,14166200,6.177929,6.177929,6.177929,no,true
9049309,arkadiko-v2,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG,63000000,5120300,8.7885,8.7885,8.7885,no,true
9049309,arkadiko-v2,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X,15750000,1184000,9.501643,9.501643,9.501643,no,true
9049309,arkadiko-v2,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF,32448528,2387000,9.709857,9.709857,9.709857,no,true
