block_height,market,position,account,side,asset,amount_base_units
9049309,granite-aeusdc,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,collateral,sBTC,9
9049309,granite-aeusdc,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,debt,token-aeusdc,424
9049309,granite-aeusdc,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,debt_stored,shares,274
9049309,granite-aeusdc,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,collateral,sBTC,88
9049309,granite-aeusdc,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,debt,token-aeusdc,13
9049309,granite-aeusdc,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,debt_stored,shares,8
9049309,granite-aeusdc,SP10MG83XFMTMSKR7237D817D9DGWXBWBCNB3W2BK,SP10MG83XFMTMSKR7237D817D9DGWXBWBCNB3W2BK,collateral,sBTC,202389
9049309,granite-aeusdc,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,collateral,sBTC,28
9049309,granite-aeusdc,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,debt,token-aeusdc,567
9049309,granite-aeusdc,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,debt_stored,shares,367
9049309,granite-aeusdc,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,collateral,sBTC,99
9049309,granite-aeusdc,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,debt,token-aeusdc,283
9049309,granite-aeusdc,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,debt_stored,shares,183
9049309,granite-aeusdc,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,collateral,sBTC,100
9049309,granite-aeusdc,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,debt,token-aeusdc,4
9049309,granite-aeusdc,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,debt_stored,shares,2
9049309,granite-aeusdc,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,collateral,sBTC,48
9049309,granite-aeusdc,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,debt,token-aeusdc,2
9049309,granite-aeusdc,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,debt_stored,shares,1
9049309,granite-aeusdc,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,collateral,sBTC,100
9049309,granite-aeusdc,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,debt,token-aeusdc,2
9049309,granite-aeusdc,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,debt_stored,shares,1
9049309,granite-aeusdc,SP11EBWRDRHWHWBM8XMNTD45VM5Z41XM29TBV7ECD,SP11EBWRDRHWHWBM8XMNTD45VM5Z41XM29TBV7ECD,collateral,sBTC,872
9049309,granite-aeusdc,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,collateral,sBTC,100
9049309,granite-aeusdc,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,debt,token-aeusdc,558
9049309,granite-aeusdc,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,debt_stored,shares,361
9049309,granite-aeusdc,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,collateral,sBTC,11700
