block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9049309,granite-aeusdc,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,755300,42400,11.57783,11.482353,11.676123,no,true
9049309,granite-aeusdc,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,7386000,1300,3693,3408.642857,3715.153846,no,true
9049309,granite-aeusdc,SP10MG83XFMTMSKR7237D817D9DGWXBWBCNB3W2BK,SP10MG83XFMTMSKR7237D817D9DGWXBWBCNB3W2BK,16987084300,0,,,,n/a,false
9049309,granite-aeusdc,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,2350100,56700,26.940035,26.685413,27.150177,no,true
9049309,granite-aeusdc,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,8309300,28300,190.848057,189.035211,191.992933,no,true
9049309,granite-aeusdc,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,8393200,400,13638.75,10845.6,13720.75,no,true
9049309,granite-aeusdc,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,4028700,200,13093,8676.333333,13171.5,no,true
9049309,granite-aeusdc,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,8393200,200,27277.5,18076,27441.5,no,true
9049309,granite-aeusdc,SP11EBWRDRHWHWBM8XMNTD45VM5Z41XM29TBV7ECD,SP11EBWRDRHWHWBM8XMNTD45VM5Z41XM29TBV7ECD,73189400,0,,,,n/a,false
9049309,granite-aeusdc,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,8393200,55800,97.768817,96.835714,98.533214,no,true
9049309,granite-aeusdc,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,982014200,538199200,1.186009,1.175953,1.196115,no,true
9049309,granite-aeusdc,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,4532300,400,7364.75,5856.6,7409,no,true
9049309,granite-aeusdc,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,8645000,343300,16.368191,16.227484,16.509638,no,true
9049309,granite-aeusdc,SP1376739EMZBE3TT22MGA3JQ18GH1TM88CK86VMV,SP1376739EMZBE3TT22MGA3JQ18GH1TM88CK86VMV,4112700,200,13366,8857.333333,13446,no,true
9049309,granite-aeusdc,SP144VCG1E9ZJYYHB57WPF0FCBH234J847KYCH9YP,SP144VCG1E9ZJYYHB57WPF0FCBH234J847KYCH9YP,1678600,168300,6.482472,6.428571,6.537225,no,true
9049309,granite-aeusdc,SP14EBQ926P4APDDMT6VP1F0X867F7Z2TDW5CV69A,SP14EBQ926P4APDDMT6VP1F0X867F7Z2TDW5CV69A,167800,0,,,,n/a,false
9049309,granite-aeusdc,SP14JPKZT1AGJWXHTVBPMVZQ11T7PGT0205DACDTB,SP14JPKZT1AGJWXHTVBPMVZQ11T7PGT0205DACDTB,8393200,200,27277.5,18076,27441.5,no,true
9049309,granite-aeusdc,SP14PW4M1XM9NQPVWXXJPCYGZ8GCXGTVA93G9GC86,SP14PW4M1XM9NQPVWXXJPCYGZ8GCXGTVA93G9GC86,4112700,178600,14.967525,14.836404,15.090909,no,true
9049309,granite-aeusdc,SP14W78Q821B3HQ3ED30624Z1F13X4JMFZY3N5SK4,SP14W78Q821B3HQ3ED30624Z1F13X4JMFZY3N5SK4,6630600,200,21549,14280,21678.5,no,true
9049309,granite-aeusdc,SP152K3QSGGHWXEKEC9Y34ARH0P034XSXPT3GE47Q,SP152K3QSGGHWXEKEC9Y34ARH0P034XSXPT3GE47Q,4280500,200,13911.5,9218.666667,13995,no,true
9049309,granite-aeusdc,SP1536TSFBZ7SYF8GEMY7D2WRJ7QWRKDMCTR9NDXJ,SP1536TSFBZ7SYF8GEMY7D2WRJ7QWRKDMCTR9NDXJ,8393200,6670700,0.81783,0.810898,0.8248,yes,true
9049309,granite-aeusdc,SP15A48CNM9YG6EJAZT5XKM7ZGVZBCWHGEV39QGA3,SP15A48CNM9YG6EJAZT5XKM7ZGVZBCWHGEV39QGA3,4112700,400,6683,5314.4,6723,no,true
9049309,granite-aeusdc,SP15F71PTZ135MNW7ENTVERFFCNAG7Z98WRHSBNET,SP15F71PTZ135MNW7ENTVERFFCNAG7Z98WRHSBNET,2853700,200,9274.5,6145.666667,9330,no,true
9049309,granite-aeusdc,SP15NQTJHF5QN063S6P87JRF78K4XWBFT9RZ1BVX3,SP15NQTJHF5QN063S6P87JRF78K4XWBFT9RZ1BVX3,417817600,0,,,,n/a,false
9049309,granite-aeusdc,SP1687V0EX1SE5E9APYX2QNHTQ4598ADGRTWEP1Q6,SP1687V0EX1SE5E9APYX2QNHTQ4598ADGRTWEP1Q6,1510700,95100,10.324921,10.231656,10.408851,no,true
9049309,granite-aeusdc,SP17Y608F82R6HAJ581MM88E4G1SYRQDNXW7F5A7Q,SP17Y608F82R6HAJ581MM88E4G1SYRQDNXW7F5A7Q,839328400,226747000,2.406045,2.385644,2.426547,no,true
9049309,granite-aeusdc,SP18136VCEXAM4T48VE6T369S7NHPBNPCPZYPYHPX,SP18136VCEXAM4T48VE6T369S7NHPBNPCPZYPYHPX,2098300,2800,487.071429,467.482759,490,no,true
9049309,granite-aeusdc,SP19JRV6RAXYJFF3HPD18PMA1209VEAN50J1FVZVA,SP19JRV6RAXYJFF3HPD18PMA1209VEAN50J1FVZVA,7637800,146200,33.956908,33.661664,34.231666,no,true
9049309,granite-aeusdc,SP19KN9Z8QXS6106X4FY1FKGCS84GN0VCACVGEG1M,SP19KN9Z8QXS6106X4FY1FKGCS84GN0VCACVGEG1M,8393200,700,7793.571429,6778.5,7840.428571,no,true
9049309,granite-aeusdc,SP19NY5VP4922XR4K3P9DJJHS8JWM3ZKEW3G2XNW,SP19NY5VP4922XR4K3P9DJJHS8JWM3ZKEW3G2XNW,839300,5600,97.410714,95.122807,97.982143,no,true
9049309,granite-aeusdc,SP1AC38VQBJTP37R0017TT4RQ9WD16EBXPE1PY6C2,SP1AC38VQBJTP37R0017TT4RQ9WD16EBXPE1PY6C2,8393200,200,27277.5,18076,27441.5,no,true
9049309,granite-aeusdc,SP1ARC8PTHHY7C9P076ZHH5MM6WDWA0XP2EXKVZJE,SP1ARC8PTHHY7C9P076ZHH5MM6WDWA0XP2EXKVZJE,7218200,200,23459,15545.333333,23599.5,no,true
9049309,granite-aeusdc,SP1BQPR680MBSPX36C8BGK8F9DMQYSVQ92KPYZ7Y4,SP1BQPR680MBSPX36C8BGK8F9DMQYSVQ92KPYZ7Y4,1510700,83300,11.787515,11.68982,11.886883,no,true
9049309,granite-aeusdc,SP1C326P0GPVGTXHBF8NKEC00ZJP4Q3YPTK1H8BBK,SP1C326P0GPVGTXHBF8NKEC00ZJP4Q3YPTK1H8BBK,7637800,200,24822.5,16449.333333,24972,no,true
9049309,granite-aeusdc,SP1CJTRQ7TK1B1PH4FS9HVQZ9JQ39714SD6DG165V,SP1CJTRQ7TK1B1PH4FS9HVQZ9JQ39714SD6DG165V,1594700,170600,6.075615,6.025146,6.126322,no,true
9049309,granite-aeusdc,SP1CPWR7BEP7NRG0T2JXS5KY0Z4QH1T313EW8932,SP1CPWR7BEP7NRG0T2JXS5KY0Z4QH1T313EW8932,5959200,700,5533.428571,4812.75,5566.571429,no,true
9049309,granite-aeusdc,SP1DKGF8Z3S3RMFPQBNK3SCFA4M4K260718GBR495,SP1DKGF8Z3S3RMFPQBNK3SCFA4M4K260718GBR495,5035900,200,16366.5,10845.666667,16464.5,no,true
9049309,granite-aeusdc,SP1EGM42GJSPY9QPCCNXG8SSKED03G764HEP1CHED,SP1EGM42GJSPY9QPCCNXG8SSKED03G764HEP1CHED,4112700,200,13366,8857.333333,13446,no,true
9049309,granite-aeusdc,SP1H9A5ZAVD2TTT7GSH5KYEYG5H94T15PS10KQJRF,SP1H9A5ZAVD2TTT7GSH5KYEYG5H94T15PS10KQJRF,8393200,200,27277.5,18076,27441.5,no,true
9049309,granite-aeusdc,SP1J79YZTX747WWHSNJM84K1586W5ZNZ8JY9J5WFN,SP1J79YZTX747WWHSNJM84K1586W5ZNZ8JY9J5WFN,1590107700,792598100,1.304028,1.292971,1.31514,no,true
9049309,granite-aeusdc,SP1JB6RQMGP3Q33NG2ZBN17CJRAJXWJDPJ9SJZ7Q5,SP1JB6RQMGP3Q33NG2ZBN17CJRAJXWJDPJ9SJZ7Q5,4700200,180600,16.91639,16.768636,17.055494,no,true
9049309,granite-aeusdc,SP1JNBD5CS0JD1WCJBY1XDNMS7J48N0RC1DHRXCSA,SP1JNBD5CS0JD1WCJBY1XDNMS7J48N0RC1DHRXCSA,2517900,200,8183,5422.666667,8232,no,true
9049309,granite-aeusdc,SP1K092RK0FVE8XTMH6T8YHJM4Z06X5CKKRXD9P78,SP1K092RK0FVE8XTMH6T8YHJM4Z06X5CKKRXD9P78,5707400,200,18549,12291.666667,18660,no,true
9049309,granite-aeusdc,SP1K78P0K99DT9QXJD0K2HA5EYFN2K0M5645DVEEC,SP1K78P0K99DT9QXJD0K2HA5EYFN2K0M5645DVEEC,671400,177700,2.455824,2.434343,2.476029,no,true
9049309,granite-aeusdc,SP1K7QH9K7QPY3T6GTYVFG98NVD7ZHGMAT97VKW0,SP1K7QH9K7QPY3T6GTYVFG98NVD7ZHGMAT97VKW0,9400400,3291300,1.85647,1.840764,1.872285,no,true
9049309,granite-aeusdc,SP1KAVMBCAHJQYFZN5TT56XR1RJGCVTDFBMSSBYKW,SP1KAVMBCAHJQYFZN5TT56XR1RJGCVTDFBMSSBYKW,8393200,200,27277.5,18076,27441.5,no,true
9049309,granite-aeusdc,SP1KD2BS98HCAEZQB3A4AXNS2KNAFTXF2CTJBQWF6,SP1KD2BS98HCAEZQB3A4AXNS2KNAFTXF2CTJBQWF6,17374000,7754400,1.456347,1.443991,1.468752,no,true
9049309,granite-aeusdc,SP1M4N6YS1FKT75K7J449G6Q2TNZW3EEG1304D8J0,SP1M4N6YS1FKT75K7J449G6Q2TNZW3EEG1304D8J0,7302100,700,6780.428571,5897.25,6821.142857,no,true
9049309,granite-aeusdc,SP1NFT6BYY40QW6F4WG9ZAEX082F0X6CGAKCAHK3G,SP1NFT6BYY40QW6F4WG9ZAEX082F0X6CGAKCAHK3G,8393200,1236100,4.413478,4.376049,4.450815,no,true
9049309,granite-aeusdc,SP1NP8CYY1XE9ZB132WFY33HS0EA692Y0V2XBNWPF,SP1NP8CYY1XE9ZB132WFY33HS0EA692Y0V2XBNWPF,8561100,4100,1357.243902,1316.97619,1365.390244,no,true
9049309,granite-aeusdc,SP1PHM9RRFFD55WPK023BPHXN70WD1JETHK40B67B,SP1PHM9RRFFD55WPK023BPHXN70WD1JETHK40B67B,6546700,400,10638.25,8459.6,10702.25,no,true
9049309,granite-aeusdc,SP1PR3H2YBAX87FP3FWDT2X274BXX43W93TK5DZWT,SP1PR3H2YBAX87FP3FWDT2X274BXX43W93TK5DZWT,8309300,200,27005,17895.333333,27167,no,true
9049309,granite-aeusdc,SP1Q5XXZBERQZMGSVG72PCXT2EJVQPTS8K3DXE7FY,SP1Q5XXZBERQZMGSVG72PCXT2EJVQPTS8K3DXE7FY,3021500,200,9819.5,6507.333333,9879,no,true
9049309,granite-aeusdc,SP1RB4ZYT06DCQG420RJ249Z8V0SA6P1K4TJR4ABN,SP1RB4ZYT06DCQG420RJ249Z8V0SA6P1K4TJR4ABN,8393200,1100,4959.545455,4519,4989.363636,no,true
9049309,granite-aeusdc,SP1RF3QMV4M9GE2NWCSSYNYT3WQY9H34WN21SNPEK,SP1RF3QMV4M9GE2NWCSSYNYT3WQY9H34WN21SNPEK,8393200,400,13638.75,10845.6,13720.75,no,true
9049309,granite-aeusdc,SP1RNRWWNY052GAT7B3E8S3TWM7D7MRP6HPEDF215,SP1RNRWWNY052GAT7B3E8S3TWM7D7MRP6HPEDF215,147889600,0,,,,n/a,false
9049309,granite-aeusdc,SP1RZK8N9VV9GSCBE0HE1AR2G0QPKBSDEGCNTN9KH,SP1RZK8N9VV9GSCBE0HE1AR2G0QPKBSDEGCNTN9KH,1510700,168300,5.834225,5.786011,5.883264,no,true
9049309,granite-aeusdc,SP1SB8TQQPPSHXSK2BYSTDVMNX9HVC7FBAWEXNK6K,SP1SB8TQQPPSHXSK2BYSTDVMNX9HVC7FBAWEXNK6K,8393200,200,27277.5,18076,27441.5,no,true
