block_height,market,position,account,side,asset,amount_base_units
9049309,granite-usdcx,SM275N04VCDVG27KQSESEKD6X06PS3HH636Z2N1GW,SM275N04VCDVG27KQSESEKD6X06PS3HH636Z2N1GW,collateral,sBTC,5391
9049309,granite-usdcx,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,collateral,sBTC,238145800
9049309,granite-usdcx,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,debt,usdcx,95556829882
9049309,granite-usdcx,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,debt_stored,shares,94580283802
9049309,granite-usdcx,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,collateral,sBTC,289000000
9049309,granite-usdcx,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,debt,usdcx,116781684466
9049309,granite-usdcx,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,debt_stored,shares,115588230306
9049309,granite-usdcx,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,collateral,sBTC,187834849
9049309,granite-usdcx,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,debt,usdcx,81127687609
9049309,granite-usdcx,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,debt_stored,shares,80298600610
9049309,granite-usdcx,SP18QG8A8943KY9S15M08AMAWWF58W9X1M90BRCSJ,SP18QG8A8943KY9S15M08AMAWWF58W9X1M90BRCSJ,collateral,sBTC,1
9049309,granite-usdcx,SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES,SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES,collateral,sBTC,100000
9049309,granite-usdcx,SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES,SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES,debt,usdcx,4041687
