block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9049309,zest-v1,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,76622624,98420520,0.467114,0.462209,0.472018,yes,true
9049309,zest-v1,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,6974491,16723800,0.250224,0.247597,0.252851,yes,true
9049309,zest-v1,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,226291419,113017120,1.201365,1.201365,1.201365,no,true
9049309,zest-v1,SP04FZTETK9DH5VY5QKABMP1NYCYW40FYBSANGRS,SP04FZTETK9DH5VY5QKABMP1NYCYW40FYBSANGRS,28429535,32804000,0.519989,0.514529,0.525449,yes,true
9049309,zest-v1,SP0864CFTZ2DR8FDCA9PC03AACZRQYWF5A00Y8WZ,SP0864CFTZ2DR8FDCA9PC03AACZRQYWF5A00Y8WZ,3607497142,787554490,2.748379,2.748379,2.748379,no,true
9049309,zest-v1,SP1014BA8MW7DK2CEACDN77RNMSZ91WQG0JTEX8EB,SP1014BA8MW7DK2CEACDN77RNMSZ91WQG0JTEX8EB,503597,5293,47.571982,47.28651,47.857359,no,true
9049309,zest-v1,SP101B76X5WHDRSX57HPGYD6V9DD2VNXG4CHAT3Z1,SP101B76X5WHDRSX57HPGYD6V9DD2VNXG4CHAT3Z1,2144515753,475754300,2.704567,2.676169,2.732965,no,true
9049309,zest-v1,SP1087208W7B3ETPQ8CHP24K0PGNW7GC822SKEFHK,SP1087208W7B3ETPQ8CHP24K0PGNW7GC822SKEFHK,168712073,123132600,0.822099,0.813467,0.830732,yes,true
9049309,zest-v1,SP108PFJNH8ZF0YNH8RDERYTZZW5B135RFYBKCHA3,SP108PFJNH8ZF0YNH8RDERYTZZW5B135RFYBKCHA3,372627976,210143897,1.063922,1.063922,1.063922,no,true
9049309,zest-v1,SP10CRJ9KPTMXGSTJ39GDQYWA1PF09F9HF2RMDEXX,SP10CRJ9KPTMXGSTJ39GDQYWA1PF09F9HF2RMDEXX,7002,1205,3.486473,3.485714,3.487752,no,true
9049309,zest-v1,SP10D4ZCFY7K94W0AHBQPD1MV662FAY7CRWM40VM3,SP10D4ZCFY7K94W0AHBQPD1MV662FAY7CRWM40VM3,43613488,66724400,0.392182,0.388064,0.3963,yes,true
9049309,zest-v1,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,251798,240993,0.522418,0.519283,0.525553,yes,true
9049309,zest-v1,SP10RE0D991JAEWTBNH952ANSCCY6H80VSEAFGMJH,SP10RE0D991JAEWTBNH952ANSCCY6H80VSEAFGMJH,5306644904,2762466088,1.152589,1.152589,1.152589,no,false
9049309,zest-v1,SP10VD0X3X2MBYZF52M25Q79QSM3JAB6HBADQRAVC,SP10VD0X3X2MBYZF52M25Q79QSM3JAB6HBADQRAVC,4734571514,762165600,3.727199,3.688063,3.766335,no,true
9049309,zest-v1,SP10X5JQ38APVZSCM8067MJ76987A5EC035Y8BWZK,SP10X5JQ38APVZSCM8067MJ76987A5EC035Y8BWZK,188576308,36977421,3.059861,3.059861,3.059861,no,true
9049309,zest-v1,SP10Y88DW28TRNTYJZXSXG95BSY57ARFAMGYHCRM9,SP10Y88DW28TRNTYJZXSXG95BSY57ARFAMGYHCRM9,64426462,188,205616.368085,205588.231579,205645.109677,no,true
9049309,zest-v1,SP111G0S42TY2TY3QSATH2KZMMRJYY00Q0WA1A1CR,SP111G0S42TY2TY3QSATH2KZMMRJYY00Q0WA1A1CR,3731802101,1850133852,1.210227,1.210227,1.210227,no,false
9049309,zest-v1,SP112B8XRP4BAJ8VKJAA1CD296VCEQX0VBJDEGER5,SP112B8XRP4BAJ8VKJAA1CD296VCEQX0VBJDEGER5,260888738,159862900,0.979172,0.96889,0.989453,yes,true
9049309,zest-v1,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,83932,200,209.83,208.5725,211.09,no,true
9049309,zest-v1,SP11877TX1W8QQQH5BXJRD47Q5ZF4WMVP7NF0Y9K9,SP11877TX1W8QQQH5BXJRD47Q5ZF4WMVP7NF0Y9K9,9775470239,4188414622,1.400359,1.400359,1.400359,no,false
9049309,zest-v1,SP11CJX3NEVEE6RZD1M6V06A6Q20B553RJECZY6Q2,SP11CJX3NEVEE6RZD1M6V06A6Q20B553RJECZY6Q2,664166586,7887531,50.522775,50.522775,50.522781,no,true
9049309,zest-v1,SP11EQW67HT9EZFFMFJRBTBMDZ8ED83F41Q47W030,SP11EQW67HT9EZFFMFJRBTBMDZ8ED83F41Q47W030,2955797687,657528700,2.697188,2.668868,2.725509,no,true
9049309,zest-v1,SP11H7YGNJYAPPRMB36S5ZHMPZFHKA0099SADHYP8,SP11H7YGNJYAPPRMB36S5ZHMPZFHKA0099SADHYP8,179205048,130322100,0.825056,0.816393,0.833719,yes,true
9049309,zest-v1,SP11HP6JWVH61F64RR39B33TYPG82VATXTFX20YSJ,SP11HP6JWVH61F64RR39B33TYPG82VATXTFX20YSJ,1938541950,1008139964,1.153734,1.153734,1.153734,no,false
9049309,zest-v1,SP11HW0TCRHMVW75C89FKBHJ19GZWYSNPBN6GM0MQ,SP11HW0TCRHMVW75C89FKBHJ19GZWYSNPBN6GM0MQ,161874481,66512600,1.460245,1.444912,1.475578,no,true
9049309,zest-v1,SP11JJ5RT71B3S5V02WGA77A5TW5SD15A5QZ2WT0F,SP11JJ5RT71B3S5V02WGA77A5TW5SD15A5QZ2WT0F,12691399713,6377221822,1.194069,1.194069,1.194069,no,false
9049309,zest-v1,SP11JS1MKCFR0GCZXTJW52B87QK0GZWA2C2VA2SY9,SP11JS1MKCFR0GCZXTJW52B87QK0GZWA2C2VA2SY9,5052497301,1900602052,1.59502,1.59502,1.59502,no,false
9049309,zest-v1,SP11K4RMT2MVYQD17JWGPZRK2EG0RW7C876BCA662,SP11K4RMT2MVYQD17JWGPZRK2EG0RW7C876BCA662,3058765967,1063303605,1.725998,1.725998,1.725998,no,false
9049309,zest-v1,SP11KG08SDVDGC8QF1D1FE9GGT05WB51CMX1B5DK5,SP11KG08SDVDGC8QF1D1FE9GGT05WB51CMX1B5DK5,385347381,285333118,0.810311,0.810311,0.810311,yes,true
9049309,zest-v1,SP11Q6XVWW91NQG0G1KZGFRVATZPZK2N78VNV52ZQ,SP11Q6XVWW91NQG0G1KZGFRVATZPZK2N78VNV52ZQ,11451,11614,0.591579,0.585328,0.597779,yes,true
9049309,zest-v1,SP11V2Y543KRWF5Z48HVC0EQVJQD5JDVEE70EWRKZ,SP11V2Y543KRWF5Z48HVC0EQVJQD5JDVEE70EWRKZ,4623392515,1660735689,1.670365,1.670365,1.670365,no,false
9049309,zest-v1,SP11VMRK069EPB45ZS20MSW3DGD7QZNBPS2191D49,SP11VMRK069EPB45ZS20MSW3DGD7QZNBPS2191D49,4295115,414,6224.804348,6224.804348,6234.742298,no,true
9049309,zest-v1,SP11WB7FSYTQ9V04H54F4JR36616R4SNK8PH8RQ76,SP11WB7FSYTQ9V04H54F4JR36616R4SNK8PH8RQ76,14645701,150,58582.804,58356.728859,58582.804,no,true
9049309,zest-v1,SP11XCBWERH2V5SFXWPTSAQNCVXZQEW1FF5040FV8,SP11XCBWERH2V5SFXWPTSAQNCVXZQEW1FF5040FV8,3761902055,1865056682,1.210227,1.210227,1.210227,no,false
9049309,zest-v1,SP11XX0PCQVE313J2X3TAHGQ9T1T0NMMEN4XMHABQ,SP11XX0PCQVE313J2X3TAHGQ9T1T0NMMEN4XMHABQ,0,162494300,0,0,0,yes,true
9049309,zest-v1,SP11Z1W6A7HERV06SH414ZE4FK8STF9N244GK3NSZ,SP11Z1W6A7HERV06SH414ZE4FK8STF9N244GK3NSZ,59278107,71172900,0.499725,0.494478,0.504972,yes,true
9049309,zest-v1,SP11ZVV9T0E7D82BFE6T54N1475E2A2EA383X422J,SP11ZVV9T0E7D82BFE6T54N1475E2A2EA383X422J,255561,123752,1.239064,1.239064,1.239072,no,true
9049309,zest-v1,SP1208E4GZ3B52YK5EW7A04FMYK1Q81HCEPQGAPVW,SP1208E4GZ3B52YK5EW7A04FMYK1Q81HCEPQGAPVW,37838072,19674859,1.153901,1.153901,1.153901,no,true
9049309,zest-v1,SP120TSSBSXH9BFJ5MT2XMY5SC4Z5TAGYP4DBZ0V9,SP120TSSBSXH9BFJ5MT2XMY5SC4Z5TAGYP4DBZ0V9,4731384297,1117677239,2.539938,2.539938,2.539938,no,false
9049309,zest-v1,SP1232YJY3NM44265BK37ZC3S6BQ1JXB4MZG1MAZ9,SP1232YJY3NM44265BK37ZC3S6BQ1JXB4MZG1MAZ9,497325406,145580934,2.049686,2.049686,2.049686,no,true
9049309,zest-v1,SP12827T3YEN8812EXXGYCPY1BW4M3KB6FZ1FCRBD,SP12827T3YEN8812EXXGYCPY1BW4M3KB6FZ1FCRBD,54306439,8539227,3.815786,3.776001,3.855566,no,true
9049309,zest-v1,SP12DQSBFRJATP92VET049BJTJ67J8C20EEAZQVT,SP12DQSBFRJATP92VET049BJTJ67J8C20EEAZQVT,70714943,18646837,2.275397,2.275397,2.275398,no,true
9049309,zest-v1,SP12ES6760QNTDV4Z52CKKCR97W4K9JF35M2VYHSW,SP12ES6760QNTDV4Z52CKKCR97W4K9JF35M2VYHSW,111783529,71756100,0.934696,0.924881,0.94451,yes,true
9049309,zest-v1,SP12FXX43RDKMHD2BNQTT6XYQX4AMEEG52XT36N9S,SP12FXX43RDKMHD2BNQTT6XYQX4AMEEG52XT36N9S,1339042667,300726200,2.671618,2.643566,2.69967,no,true
9049309,zest-v1,SP12M9AB90Y8V5V645SZCM2DBE2GS82XET2CXRJE0,SP12M9AB90Y8V5V645SZCM2DBE2GS82XET2CXRJE0,45668,5995,4.570609,4.570518,4.570609,no,true
9049309,zest-v1,SP12MC1AHWA97GXBWWAEPDZG28GKV5HX425Y2W491,SP12MC1AHWA97GXBWWAEPDZG28GKV5HX425Y2W491,2589079208,923360701,1.682384,1.682384,1.682384,no,true
9049309,zest-v1,SP12QAAEH4R5Z9YBPAXG7FBXATDK0AVMCHAKB9AQM,SP12QAAEH4R5Z9YBPAXG7FBXATDK0AVMCHAKB9AQM,1900827328,949313666,1.20139,1.20139,1.201391,no,true
9049309,zest-v1,SP12RM1MZQC1XRW8DVS92D07TJX8CCEK9K3KK6JV,SP12RM1MZQC1XRW8DVS92D07TJX8CCEK9K3KK6JV,0,7436245,0,0,0,yes,true
9049309,zest-v1,SP12TYM182WPP4R73V0542CS8S2RAZRGKQ0NQHFBT,SP12TYM182WPP4R73V0542CS8S2RAZRGKQ0NQHFBT,560851454,185440566,1.814656,1.814656,1.814656,no,true
9049309,zest-v1,SP12VKARQ4SPSS5482G4ZM20VP36J6ER8HFWEDEX,SP12VKARQ4SPSS5482G4ZM20VP36J6ER8HFWEDEX,2015061901280,7487326000,134.564857,133.757468,135.372246,no,false
9049309,zest-v1,SP12ZRK139NWG5AWXXRXT7A1MHAANDDGDZ4H37RYG,SP12ZRK139NWG5AWXXRXT7A1MHAANDDGDZ4H37RYG,0,3379334,0,0,0,yes,true
9049309,zest-v1,SP1317GKQJHCQETSFQZ9MS4YXKVBRR29MMXVFSQJY,SP1317GKQJHCQETSFQZ9MS4YXKVBRR29MMXVFSQJY,15270250808,7890621087,1.161144,1.161144,1.161144,no,false
9049309,zest-v1,SP131T921X82DWY6EFGKXYM5ER9BPHQGN1NQWRWKG,SP131T921X82DWY6EFGKXYM5ER9BPHQGN1NQWRWKG,100184,282500,0.21278,0.210546,0.215015,yes,true
9049309,zest-v1,SP132KFM093E4KV8Q89SYSDCA3H3V8HK9H3E35KTP,SP132KFM093E4KV8Q89SYSDCA3H3V8HK9H3E35KTP,126220990,64940936,1.166177,1.166176,1.166177,no,true
9049309,zest-v1,SP133HFRSC3TQGG5MQD8SG87C4Q1R0N8HS8VXCVG2,SP133HFRSC3TQGG5MQD8SG87C4Q1R0N8HS8VXCVG2,113285,29055,2.339391,2.339391,2.339407,no,true
9049309,zest-v1,SP133VW3D9A5S6V441K2QPC6KNQ7FTQH6Y7C4CHE9,SP133VW3D9A5S6V441K2QPC6KNQ7FTQH6Y7C4CHE9,114009303,32900018,2.079196,2.079196,2.079196,no,true
9049309,zest-v1,SP134ACD749QYM1J4ZTWMJ43MZH38BJB33D24DQB8,SP134ACD749QYM1J4ZTWMJ43MZH38BJB33D24DQB8,854484,60110,8.529203,8.529203,8.529325,no,true
9049309,zest-v1,SP1353CTXA3DHFWFTQPEHCKBKDMYTJQWWK03RFFFN,SP1353CTXA3DHFWFTQPEHCKBKDMYTJQWWK03RFFFN,262257920,11429304,13.767658,13.767658,13.767659,no,true
9049309,zest-v1,SP1398CHCH7S6BT3Q1JCMJP327XGNAZV4FQTTX15H,SP1398CHCH7S6BT3Q1JCMJP327XGNAZV4FQTTX15H,261658096,164302200,0.955525,0.945492,0.965558,yes,true
9049309,zest-v1,SP13B423JDW8N8WB95HHC0735ND4VE5TKCWM83592,SP13B423JDW8N8WB95HHC0735ND4VE5TKCWM83592,8188340410,3526052383,1.393344,1.393344,1.393344,no,false
9049309,zest-v1,SP13BY024J6JHW526XNGNXJVSGXM40VCBM5PJ4HRR,SP13BY024J6JHW526XNGNXJVSGXM40VCBM5PJ4HRR,8973561263,1677025193,3.210528,3.210528,3.210528,no,false
9049309,zest-v1,SP13GAAZ2Y7ZNED8Q2QXX2P7SC5SBP9TSVD54D0XS,SP13GAAZ2Y7ZNED8Q2QXX2P7SC5SBP9TSVD54D0XS,453492665,140112900,1.941974,1.921583,1.962365,no,true
9049309,zest-v1,SP13HQBWPB5ZX6C59VYVY6NVVJEHB1SSYPEJT1DXY,SP13HQBWPB5ZX6C59VYVY6NVVJEHB1SSYPEJT1DXY,3825124690,1930808555,1.18866,1.18866,1.18866,no,false
9049309,zest-v1,SP13N23VJPMDJF838VTKKN8A0Y53MK46CF3726X4A,SP13N23VJPMDJF838VTKKN8A0Y53MK46CF3726X4A,152213842936,39263248986,2.326051,2.326051,2.326051,no,false
9049309,zest-v1,SP13PBPRYHVS6GPQNTE5MX1YZEMNEVHM26FG3KS3Q,SP13PBPRYHVS6GPQNTE5MX1YZEMNEVHM26FG3KS3Q,12014103628,6152546300,1.171623,1.169419,1.173789,no,false
9049309,zest-v1,SP13R7HYNK9HXZSC3P3BSYHVFZA84CB6M697JC46W,SP13R7HYNK9HXZSC3P3BSYHVFZA84CB6M697JC46W,174739496,88460064,1.185209,1.185209,1.185209,no,true
9049309,zest-v1,SP13S4J3BKJESHFVBHHHFNAC5DKKHW6Q4A67N2W2C,SP13S4J3BKJESHFVBHHHFNAC5DKKHW6Q4A67N2W2C,10308042,19108200,0.323674,0.320275,0.327072,yes,true
9049309,zest-v1,SP140D96P51CKBAHYNAGZY7F6184PSVDW14V36DHJ,SP140D96P51CKBAHYNAGZY7F6184PSVDW14V36DHJ,269187677,164302400,0.98302,0.972699,0.993342,yes,true
9049309,zest-v1,SP141GP2MYSE6G8RRRVW3N7R896AF4DG29ZDBAZTB,SP141GP2MYSE6G8RRRVW3N7R896AF4DG29ZDBAZTB,43158182,62657100,0.41328,0.40894,0.417619,yes,true
9049309,zest-v1,SP142CABNW8MASXP6MXTSVJJ0Y7QGD07A76XBTV84,SP142CABNW8MASXP6MXTSVJJ0Y7QGD07A76XBTV84,723971667,167108791,2.599402,2.572109,2.626696,no,true
9049309,zest-v1,SP142SYE5MZ1E1WYV6DMZXDFN9WC643PRNNGVND2Q,SP142SYE5MZ1E1WYV6DMZXDFN9WC643PRNNGVND2Q,93030,941,59.317747,59.31041,59.325242,no,true
9049309,zest-v1,SP143S7QJWE14EYGVTC99HGYEMG70YVG1RT81KA1A,SP143S7QJWE14EYGVTC99HGYEMG70YVG1RT81KA1A,1739536,43800,23.82926,23.579041,24.079466,no,true
9049309,zest-v1,SP144F4JWAGREMXDNJ3TAEN3K5XP30RGB4YRQEAHK,SP144F4JWAGREMXDNJ3TAEN3K5XP30RGB4YRQEAHK,43861,2522,10.434814,10.434814,10.436874,no,true
9049309,zest-v1,SP1454QJJZC5E7Q5D25R32Q1WYCGAN2MZHC1W349D,SP1454QJJZC5E7Q5D25R32Q1WYCGAN2MZHC1W349D,473563178,119147400,2.38476,2.35972,2.4098,no,true
9049309,zest-v1,SP146HRMWDXEC5JVB161N64S5Q40Y7R9TZQKH2DWQ,SP146HRMWDXEC5JVB161N64S5Q40Y7R9TZQKH2DWQ,2589076497,923328346,1.682441,1.682441,1.682442,no,true
9049309,zest-v1,SP14AATYGAPMK2Z5R5R1FAMT87HWQFHNMFFM5D1ZF,SP14AATYGAPMK2Z5R5R1FAMT87HWQFHNMFFM5D1ZF,149621828,108058344,0.830784,0.82206,0.839507,yes,true
9049309,zest-v1,SP14CKWNSJ1YTPH87YJKP2FVRRJJ0SZ430JWWBD42,SP14CKWNSJ1YTPH87YJKP2FVRRJJ0SZ430JWWBD42,37448311,3720485,6.039263,6.039263,6.039263,no,true
9049309,zest-v1,SP14EWQHWR0E0KMF5DEZXHX1HQBSGMNB4JVPWFTAP,SP14EWQHWR0E0KMF5DEZXHX1HQBSGMNB4JVPWFTAP,8674540224,3729502239,1.395555,1.395555,1.395555,no,false
9049309,zest-v1,SP14HZGZN7BNV3PVSY201PCYRQDH1TDKFY1GPM4JN,SP14HZGZN7BNV3PVSY201PCYRQDH1TDKFY1GPM4JN,4838996841,1901023128,1.527282,1.527282,1.527282,no,false
9049309,zest-v1,SP14WZEHZSP2JH861GT0CQ56YJR8JGTAA5RHYX2FX,SP14WZEHZSP2JH861GT0CQ56YJR8JGTAA5RHYX2FX,4860590710,1828901773,1.594593,1.594593,1.594593,no,false
9049309,zest-v1,SP14Z85YT1E5DTSVBKR0ZZ7JYABS7TTYFCFN6DY4P,SP14Z85YT1E5DTSVBKR0ZZ7JYABS7TTYFCFN6DY4P,374254344,74409270,3.017804,3.017804,3.017804,no,true
9049309,zest-v1,SP1501KK51HK431S26R0ZYZD06V38H4S41D77V6B2,SP1501KK51HK431S26R0ZYZD06V38H4S41D77V6B2,700319488,340694493,1.233339,1.233339,1.233339,no,true
9049309,zest-v1,SP151WSSSXWWHRD39S433P6A5XGHGYHVWPFVW8HX7,SP151WSSSXWWHRD39S433P6A5XGHGYHVWPFVW8HX7,149880,983,91.483215,91.453443,91.512991,no,true
9049309,zest-v1,SP15B7SQ231XSA6A4EGM3YKXTK3PZG7X08V00C0Q3,SP15B7SQ231XSA6A4EGM3YKXTK3PZG7X08V00C0Q3,1355095,727831,1.117096,1.117096,1.117097,no,true
9049309,zest-v1,SP15C511T142ZSVJ3SMZP9K8SH5XN9MFB7Q7ZZTJ0,SP15C511T142ZSVJ3SMZP9K8SH5XN9MFB7Q7ZZTJ0,98650717,301,196645.947508,196540.034899,196749.769737,no,true
9049309,zest-v1,SP15DP7F52XA0HR3XRKFSYZ2H9CVQ3JG4Z9BYG9JV,SP15DP7F52XA0HR3XRKFSYZ2H9CVQ3JG4Z9BYG9JV,5673583224,847600,4016.222197,3974.051852,4058.392542,no,true
9049309,zest-v1,SP15ET57VBMPY2F9K6CBDMCC3V8FJSV58VZMZJ4ZZ,SP15ET57VBMPY2F9K6CBDMCC3V8FJSV58VZMZJ4ZZ,1966032,75,15728.256,15684.284211,15773.424324,no,true
