block_height,market,check,kind,asset,decimals,indexed,onchain,delta,delta_pct,rule,status
9049309,zest-v2,debt:STX,debt,STX,6,3497985889849,3497985889853,4,1e-10,tolerance,OK
9049309,zest-v2,debt:sBTC,debt,sBTC,8,7239699873,7239699874,1,1.38e-8,tolerance,OK
9049309,zest-v2,debt:stSTX,debt,stSTX,6,578693009109,578693009113,4,6e-10,tolerance,OK
9049309,zest-v2,debt:USDC,debt,USDC,6,6948896625634,6948896625636,2,0,tolerance,OK
9049309,zest-v2,debt:USDH,debt,USDH,8,12572246040065,12572246040070,5,0,tolerance,OK
9049309,zest-v2,debt:stSTXbtc,debt,stSTXbtc,6,0,0,0,0,tolerance,OK
9049309,zest-v2,debt:stBTC,debt,stBTC,8,0,0,0,0,tolerance,OK
9049309,zest-v2,collateral:zSTX,collateral,zSTX,6,7002565894895,7002565894895,0,0,tolerance,OK
9049309,zest-v2,collateral:sBTC,collateral,sBTC,8,1082360661,1082360661,0,0,tolerance,OK
9049309,zest-v2,collateral:zsBTC,collateral,zsBTC,8,22732052321,22732052321,0,0,tolerance,OK
9049309,zest-v2,collateral:zstSTX,collateral,zstSTX,6,4897453227296,4897453227296,0,0,tolerance,OK
9049309,zest-v2,collateral:zUSDC,collateral,zUSDC,6,9999027746338,9999027746338,0,0,tolerance,OK
9049309,zest-v2,collateral:zstSTXbtc,collateral,zstSTXbtc,6,5881022241570,5881022241570,0,0,tolerance,OK
9049309,zest-v2,collateral:zstBTC,collateral,zstBTC,8,13049689000,13049689000,0,0,tolerance,OK
9049309,zest-v2,count:registry,count,,,1270,1270,0,0,exact,OK
