block_height,market,position,account,side,asset,amount_base_units
9053676,arkadiko-v2,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR,collateral,STX,102493000000
9053676,arkadiko-v2,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR,debt,USDA,18000041095
9053676,arkadiko-v2,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR,debt_stored,USDA,18000041095
9053676,arkadiko-v2,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5,collateral,STX,13980000
9053676,arkadiko-v2,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5,debt,USDA,1080874
9053676,arkadiko-v2,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5,debt_stored,USDA,1080874
9053676,arkadiko-v2,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1,collateral,STX,150000000
9053676,arkadiko-v2,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1,debt,USDA,10460922
9053676,arkadiko-v2,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1,debt_stored,USDA,10460922
9053676,arkadiko-v2,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG,collateral,STX,13438425
9053676,arkadiko-v2,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG,debt,USDA,745120
9053676,arkadiko-v2,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG,debt_stored,USDA,745120
9053676,arkadiko-v2,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ,collateral,STX,1000000
9053676,arkadiko-v2,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ,debt,USDA,48169
9053676,arkadiko-v2,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ,debt_stored,USDA,48169
9053676,arkadiko-v2,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2,collateral,STX,114760904
9053676,arkadiko-v2,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2,debt,USDA,4032005
9053676,arkadiko-v2,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2,debt_stored,USDA,4032005
9053676,arkadiko-v2,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS,collateral,STX,3889688
9053676,arkadiko-v2,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS,debt,USDA,122999
