block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9053676,granite-usdcx,SM275N04VCDVG27KQSESEKD6X06PS3HH636Z2N1GW,SM275N04VCDVG27KQSESEKD6X06PS3HH636Z2N1GW,451647700,0,,,,n/a,false
9053676,granite-usdcx,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,19951403468000,9554618696100,1.357292,1.345784,1.368858,no,false
9053676,granite-usdcx,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,24211871896300,11676867756500,1.347769,1.336341,1.359253,no,false
9053676,granite-usdcx,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,15736447410600,8111865177600,1.260954,1.250263,1.271699,no,false
9053676,granite-usdcx,SP18QG8A8943KY9S15M08AMAWWF58W9X1M90BRCSJ,SP18QG8A8943KY9S15M08AMAWWF58W9X1M90BRCSJ,83700,0,,,,n/a,false
9053676,granite-usdcx,SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES,SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES,8377810300,404123700,13.475024,13.360772,13.589849,no,true
9053676,granite-usdcx,SP1BJK54NVVEKTCTE1RDGGXKVZZ0XJK8EHCM15AT7,SP1BJK54NVVEKTCTE1RDGGXKVZZ0XJK8EHCM15AT7,166718400,59695000,1.815343,1.799952,1.830811,no,true
9053676,granite-usdcx,SP1FWW464A8YVYBHYSDQSR1QVXTM7PR361STNT68C,SP1FWW464A8YVYBHYSDQSR1QVXTM7PR361STNT68C,8377800,51000,106.77451,105.71875,107.626719,no,true
9053676,granite-usdcx,SP1H68DAV0HZZ2NJXD38DK12EXXSR7A39J5HT19N1,SP1H68DAV0HZZ2NJXD38DK12EXXSR7A39J5HT19N1,1256671551700,259004018600,3.15376,3.12702,3.180634,no,false
9053676,granite-usdcx,SP1HZ88S59X3SJBTG14E9KYH8YVC885BXMP5VHYEZ,SP1HZ88S59X3SJBTG14E9KYH8YVC885BXMP5VHYEZ,40893600298700,16999092408700,1.563662,1.550404,1.576987,no,false
9053676,granite-usdcx,SP1JVF2VV3T30JQZ4D4FW9W4K819RSQMDYZDQRNS1,SP1JVF2VV3T30JQZ4D4FW9W4K819RSQMDYZDQRNS1,335100,200,1089,721.666667,1095.5,no,true
9053676,granite-usdcx,SP1S2ZTV7QVAYBRJVB85FHXE7P8PZZHXVCERMEHN9,SP1S2ZTV7QVAYBRJVB85FHXE7P8PZZHXVCERMEHN9,8377810300,0,,,,n/a,false
9053676,granite-usdcx,SP1T07GK9H4M0WP4N1DSSA7NJ7GNTQZ0GBZM0GAR2,SP1T07GK9H4M0WP4N1DSSA7NJ7GNTQZ0GBZM0GAR2,408334400,100300,2646.234297,2622.512922,2667.430569,no,true
9053676,granite-usdcx,SP1ZJHN74VH26SPHHJB4YP6NSEYVKFZD1W0ZK5K9H,SP1ZJHN74VH26SPHHJB4YP6NSEYVKFZD1W0ZK5K9H,33999416300,3999816400,5.525159,5.478312,5.57224,no,false
9053676,granite-usdcx,SP2154FKKKX40REDZQSEX9WMAPVZ4SYYJ193BSPR4,SP2154FKKKX40REDZQSEX9WMAPVZ4SYYJ193BSPR4,482523086500,211514806400,1.482828,1.470255,1.495463,no,false
