block_height,market,position,account,side,asset,amount_base_units
9053676,zest-v1,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,collateral,stSTXbtc,2415563
9053676,zest-v1,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,debt,USDH,47842359
9053676,zest-v1,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,debt,aeUSDC,505992
9053676,zest-v1,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,debt_stored,USDH,44961340
9053676,zest-v1,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,debt_stored,aeUSDC,477094
9053676,zest-v1,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,collateral,STX,219874
9053676,zest-v1,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,debt,aeUSDC,167285
9053676,zest-v1,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,debt_stored,aeUSDC,148886
9053676,zest-v1,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,collateral,stSTX,6010670
9053676,zest-v1,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,debt,STX,3563376
9053676,zest-v1,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,debt_stored,STX,3131664
